"id","title","decision","new_ticket_id_or_null","reason"
"PHX-0001","Custom Knowledge Store Engine","absorbed","","The MESH substrate IS the custom store; see MESH_IMPLEMENTATION.md and MESH_SUBSTRATE.md in full."
"PHX-0002","Hierarchical + Heterogeneous Embedding Spaces — multiple embedding models / dimensions per modality and abstraction level, in a single Chronik","absorbed","","MESH_SUBSTRATE.md §Node anatomy specifies multi-vector nodes (semantic, frame, structural, temporal, description)."
"PHX-0013","Chronese Canonical Semantic Layer","carry-forward","PHX-1002","Cross-cutting semantic canonicalisation concern that survives the MESH pivot."
"PHX-0014","Metis Advisory Runtime","carry-forward","PHX-1003","Advisory/wisdom layer on top of the substrate; not replaced by MESH."
"PHX-0015","Fast/Slow Cognition and Opposition Protocol","carry-forward","PHX-1004","Dual-path reasoning design remains relevant beyond substrate mechanics."
"PHX-0016","Non-Chronological Knowledge Topologies","absorbed","","MESH graph topology (SpMV) replaces chronological hierarchy; see MESH_SUBSTRATE.md."
"PHX-0017","Sensorium: Multimodal Acquisition Adapters","carry-forward","PHX-1005","Acquisition adapters preserved per MESH_MIGRATION_PLAN.md."
"PHX-0018","Chronik-to-Model Distillation and Hardware Co-Design","carry-forward","PHX-1006","Distillation concern independent of substrate shape."
"PHX-0019","Hestia: Human Flourishing Guardian","carry-forward","PHX-1007","Pantheon agent role preserved; not changed by the MESH pivot."
"PHX-0020","Operative Knowledge: The Fifth Form","absorbed","","MESH_RETRIEVAL.md diversified injection + constellation assembly absorbs this."
"PHX-0033","Pre-curated Wikidata subset for travel literature — remove live-SPARQL dependency","carry-forward","PHX-1008","Offline data need survives the MESH pivot; relevant for Kadmos v2 linker."
"PHX-0034","Entity-resolution quality benchmark — gold-standard regression","carry-forward","PHX-1009","Key for Kadmos v2 eager-linker validation in S2."
"PHX-0036","Re-evaluate Gemini 3.1 Flash Lite once GA and Athene exists","carry-forward","PHX-1010","LLM provider choice independent of substrate."
